Cable name,Location,Status,Documentation,Last person & Date,Remaining,Cable number,Type,Gauge (AWG),Length (m),KC705 EyeBertScan (NEW SCRIPT),,,,,KC705 EyeBertScan (OLD SCRIPT),,,,,Date of 4 pt Resistance,"4 Pt DC resistance (ohms), 33 pin to 45 pin",,,,,,,,,,Avg,ohms/m,Error,Impedance from VNA (S12 using 2-5ns window),,,,,Impedance from VNA (S12 variable time window),,,,,CROC Min TAP0,,,,SCC173 Min TAP0,,,,CROC - SCC,CROC - SCC,TotMass (g),Mass,Mass/Length,BERT,Cable Mass,VNA,Pics,Irradiated,Thermal Cycle,Eye from Chip,For CERN,Enveloped,EE in a box,Scrapped,Comments,,,,
Type 1,,,,,,,,,,D3(22-30/23-32),D2(20-22/21-24),D1(18-14/19-16),D0(16-6/17-8),CMD(12-2/13-4),D3,D2,D1,D0,CMD,,D3_N(J24-J73),D3_P(J62-J35),D2_N(J23-J71),D2_P(J61-J33),D1_N(J22-J69),D1_P(J60-J31),D0_N(J21-J67),D0_P(J59-J29),CMD_N(J20-J66),CMD_P(J58-J28),,,,CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-22/21-24),D3(22-30/23-32),CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-26/21-24),D3(22-30/23-32),D3 10(-10),D3 10(-14),D0 10(-10),D0 10(-14),D3 10(-10) ,D3 10(-14),D0 10(-10),D0 10(-14),D3,D0,,,,,,,,,,,,,,,,,,,
TP_1p4m_150,Malott 1090,B,N/A,,Channel D1 Marginal ,150,1A,36,1.40,48160.00,47520.00,14320.00,47520.00,47600.00,27520.00,28640.00,28400.00,27920.00,26240.00,9/24/24,2.9044,2.8746,2.8609,2.8347,2.8798,14.9 (redone),2.8741,2.8693,2.9355,2.9392,2.89,2.06,0.03,130.22,134.27,129.59,134.17,134.99,145.00,146.00,139.00,134.00,135.00,x,,x,,150,210,150,,x,x,2.613,,,✓,✓,✓,✓,,,,,✓,✓,,D1_P has bad connection. sending to bill after pics,,,,
TP_1p4m_151,Malott 1090,A,N/A,,Channel D2 Marginal,151,1A,36,1.40,47920.00,13280.00,47760.00,43280.00,47600.00,28880.00,32960.00,26880.00,28320.00,23440.00,9/24/24,2.8801,2.8532,bad,3.1435,2.8622,2.8473,2.8654 (redone),2.8597,2.9242,2.9328,2.91,2.08,0.09,131.14,133.16,130.19,130.07,129.54,143.00,143.00,142.00,130.00,130.00,x,,x,,130,,180,,x,x,2.605,,,✓,✓,✓,✓,,,,,✓,✓,,EYE BERT shows bad D2 channel. will recheck DC,,,,
TP_1p4m_152,Malott 1090,FAIL,N/A,,N/A,152,1A,36,1.40,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,140.18,x,,x,,x,,x,,x,x,,,,,,,,,,,,✓,✓,✓,Breaks during production.,,,,
TP_1p4m_152_v2,Malott 4078,A ,Done,JS 7/27/22,Slightly high SCC,152,1A,36,1.40,46960.00,48320.00,46160.00,46480.00,43680.00,,,,,,,2.8289,2.8615,2.7871,2.8139,2.8223,2.8296,2.8264,2.8334,2.9307,2.9068,2.84,,,124.00,126.00,127.00,131.00,132.00,135.00,135.00,136.00,139.00,138.00,380,,360*,,150,198,170,253,230,190,2.338,,,,,,,,,,,✓,,,Second version of cable.*CROC: no clock detection for TAP0 = 350,,,,
TP_1p4m_153,Malott 4078,A,Done,JS 7/27/22,Mass,153,1A,36,1.40,48800.00,48000.00,47200.00,47920.00,48240.00,25600.00,26720.00,27520.00,29200.00,28400.00,9/24/24,2.8623,2.8402,2.8228,2.8065,2.8487,2.8319,2.8453,2.8314,2.9066,2.8992,2.85,2.04,0.03,132.18,133.27,129.24,129.79,127.32,146.00,146.00,144.00,130.00,128.00,360*,,350,,130,205,130,,230,220,2.611,,,✓,✓,✓,✓,,,,,✓,✓,,*CROC: no clock detection for TAP0 = 350,,,,
TP_1p6m_154,Malott 4078,A ,Done,JS 7/27/22,Done,154,1A,36,1.60,46160.00,47680.00,44240.00,46960.00,46080.00,29040.00,25360.00,27600.00,32080.00,30960.00,9/24/24,3.1542,3.1322,3.1175,3.1068,3.1437,3.1445,3.1463,3.1407,3.2042,3.2258,3.15,1.97,0.03,120.00,118.00,119.00,120.00,117.00,132.00,130.00,131.00,129.00,128.00,no link,,390*,,150,222,180,244,x,210,2.804,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 380,,,,
TP_1p6m_155,Malott 4078,A,Done,JS 7/27/22,Done,155,1A,36,1.60,47360.00,48880.00,45280.00,46640.00,47200.00,,,,,,,3.1589,3.1796,3.1313,3.1380,3.1467,3.1571,3.1556,3.1637,3.2467,3.2210,3.17,,,119.94,118.46,119.79,119.43,116.92,131.00,128.00,130.00,129.00,128.00,340*,,300*,,120,,170,233,270,220,2.815,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 380,,,,
TP_1p6m_156,Malott 4078,A,Done,JS 7/27/22,Done,156,1A,36,1.60,46560.00,46720.00,44560.00,44240.00,44240.00,,,,,,,3.1630,3.1830,3.1300,3.2020,3.1580,3.1710,3.1870,3.1850,3.3810,3.2470,3.20,,,123.18,126.49,121.84,125.00,121.58,134.00,136.00,135.00,135.00,133.00,no link,,390*,,120,,140,201,x,250,2.876,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 380,,,,
TP_1p6m_157,Malott 4078,A ,Done,JS 7/27/22,Done,157,1A,36,1.60,47920.00,46880.00,45040.00,46720.00,44800.00,,,,,,,3.1563,3.1695,3.1529,3.1278,3.1392,3.1432,3.1690,3.1495,3.2420,3.2118,3.17,,,119.00,122.00,118.00,123.00,119.00,129.00,130.00,127.00,128.00,127.00,no link ,,430*,,140,198,160,221,x,270,,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 420,,,,
TP_1p6m_158,Malott 1090,FAIL,N/A,,N/A,158,1A,36,1.60,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,✓,Tested before lashing; will be tested after lashing. Broken wire after testing.,,,,
